!encryption-level(ascii_sort_key_1)	per-line-revision	checkout/merge-suggestion(ascii_sort_key_2)	tag-url(ascii_sort_key_3)
-1	1	$PROJECTS/uplm	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/uplm-dyeg6r0e3fkjm3jmruu7dxvaj.git
-1	1	/usr/local/bin/xworld	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-bin-xworld-jv3gwuidf2ezyr5vbqavqtxyh.git
-1	1	/usr/local/bin/xworld_debian	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-bin-xworld_debian-mwkvzw1aut5wtrn8qj00r3n20.git
-1	1	/usr/local/bin/xworld_raspbian	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-bin-xworld_raspbian-l3nayn4063rcnis8dcr7xa48g.git
-1	1	/usr/local/etc/features	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-etc-features-hml46rntp4etzxla7pxzc6rj0.git
-1	1	/usr/local/etc/xworld	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-etc-xworld-i99np90tmmdbkelxz73lskk31.git
-1	1	/usr/local/libexec/xworld	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-libexec-xworld-qxmubuysqa30u0q0iia8wuk90.git
-1	1	/usr/local/libexec/xworld_debian	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-libexec-xworld_debian-1grttl7suj3lu607wqm792a9m.git
-1	1	/usr/local/sbin/xworld	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-sbin-xworld-kc9tlsxdgsgaaydrhzc10qr7p.git
-1	1	/usr/local/sbin/xworld_debian	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-sbin-xworld_debian-i7plqrb7887azjcnxws0tsve0.git
-1	1	/usr/local/sbin/xworld_raspbian	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-sbin-xworld_raspbian-kfxvie4bshkb2va3n8jj2sj63.git
-1	1	/usr/local/share/xworld	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/usr-local-share-xworld-u6u5lfxkqqf8e2mjaudapd4al.git
-1	1	$PROJECTS/xor	tag:xworld.mine.nu,2009:scm-5f4fz8fy8uzjenltats46r20e/xor-cf2zlsdq0ugih22btavmfgg23.git
